description,category
Doctor Consultation IMPS,Healthcare
Instamart via UPI,Groceries
Medical Lab Test Payment,Healthcare
Bus Ticket,Travel
Swiggy Purchase,Food
Cab Ride,Travel
Charity App,Miscellaneous
Airtel Postpaid Auto-pay,Bills
PVR Cinemas Payment,Entertainment
Clothing Store Online,Shopping
Cab Ride Online,Travel
Domino's IMPS,Food
Doctor Consultation,Healthcare
Sports Ticket,Entertainment
Coffee Shop Payment,Food
1mg Recharge,Healthcare
Metro Recharge Auto-pay,Travel
OTT Subscription Online,Entertainment
Event Ticket via UPI,Entertainment
Airport Taxi NEFT,Travel
Electronics Store Auto-pay,Shopping
MakeMyTrip Payment,Travel
Clinic Visit Recharge,Healthcare
Reliance Smart Transaction,Groceries
Cab Ride Recharge,Travel
Airport Taxi Transaction,Travel
Supermarket Grocery Payment,Groceries
Street Food Online,Food
Rent Payment NEFT,Bills
Cult.fit App,Miscellaneous
Charity NEFT,Miscellaneous
Electricity Bill Online,Bills
Mall Purchase Purchase,Shopping
Shoppers Stop Payment,Shopping
Temple Donation IMPS,Miscellaneous
Cult.fit Auto-pay,Miscellaneous
Train Ticket Payment,Travel
Nature's Basket,Groceries
General Store Recharge,Groceries
Croma App,Shopping
Uber Online,Travel
Local Cafe via UPI,Food
Inox Recharge,Entertainment
BigBasket IMPS,Groceries
Croma Bill,Shopping
Mahanagar Gas App,Bills
IRCTC NEFT,Travel
Local Kirana via UPI,Groceries
McDonalds Auto-pay,Food
Clothing Store App,Shopping
Tata Power IMPS,Bills
Clothing Store NEFT,Shopping
India Post Payment,Miscellaneous
BookMyShow Purchase,Entertainment
Zomato Auto-pay,Food
Appliance Store Recharge,Shopping
Airtel Postpaid,Bills
Train Ticket Bill,Travel
Local Kirana via UPI,Groceries
Amazon Prime Recharge,Entertainment
Nature's Basket Purchase,Groceries
Clothing Store NEFT,Shopping
Apollo Pharmacy Bill,Healthcare
Jio Recharge Payment,Bills
Domino's via UPI,Food
Broadband Bill Online,Bills
Medical Lab Test,Healthcare
Bakery IMPS,Food
Bikanervala via UPI,Food
Nature's Basket App,Groceries
RedBus Transaction,Travel
Courier Service IMPS,Miscellaneous
Croma IMPS,Shopping
Courier Service Purchase,Miscellaneous
Daily Essentials Online,Groceries
Gaming Top-up App,Entertainment
Parking Fee Bill,Miscellaneous
Air India Auto-pay,Travel
Medical Lab Test,Healthcare
Event Ticket Payment,Entertainment
Instamart Recharge,Groceries
Street Food NEFT,Food
Maintenance Charges Transaction,Bills
Nature's Basket Recharge,Groceries
OTT Subscription NEFT,Entertainment
Street Food Recharge,Food
Dining Transaction,Food
Practo via UPI,Healthcare
Maintenance Charges App,Bills
Tata Power IMPS,Bills
Temple Donation NEFT,Miscellaneous
ATM Withdrawal App,Miscellaneous
Netflix,Entertainment
Cab Ride Bill,Travel
Electronics Store IMPS,Shopping
Cab Ride Bill,Travel
Rapido Online,Travel
Bakery Payment,Food
Uber App,Travel
Bikanervala Payment,Food
Dental Treatment via UPI,Healthcare
1mg App,Healthcare
Appliance Store Payment,Shopping
Electricity Bill Recharge,Bills
Mahanagar Gas NEFT,Bills
Restaurant Purchase,Food
Uber Bill,Travel
Gym Membership NEFT,Miscellaneous
Local Kirana Recharge,Groceries
Bikanervala IMPS,Food
Maintenance Charges Recharge,Bills
Cafe Coffee Day Auto-pay,Food
India Post Payment,Miscellaneous
Bescom Online,Bills
Retail Store Auto-pay,Shopping
Rapido Recharge,Travel
Bikanervala Online,Food
Retail Store NEFT,Shopping
Sports Ticket Transaction,Entertainment
Jio Recharge NEFT,Bills
Nature's Basket,Groceries
Myntra Online,Shopping
India Post Recharge,Miscellaneous
Bescom App,Bills
Bescom Transaction,Bills
Air India Transaction,Travel
Instamart Recharge,Groceries
Electronics Store App,Shopping
Rapido Transaction,Travel
Zepto,Groceries
India Post via UPI,Miscellaneous
Doctor Consultation Payment,Healthcare
Shoppers Stop Online,Shopping
Rapido Transaction,Travel
Medical Lab Test Transaction,Healthcare
Doctor Consultation Transaction,Healthcare
Myntra NEFT,Shopping
Gaming Top-up NEFT,Entertainment
Ajio IMPS,Shopping
Shoppers Stop App,Shopping
Broadband Bill via UPI,Bills
Gym Membership Purchase,Miscellaneous
Gaming Top-up NEFT,Entertainment
Bakery via UPI,Food
Milk Purchase Payment,Groceries
Jio Recharge NEFT,Bills
Ajio Payment,Shopping
Practo Transaction,Healthcare
Hotstar Bill,Entertainment
Air India Auto-pay,Travel
Clinic Visit IMPS,Healthcare
Bus Ticket,Travel
Cafe Coffee Day,Food
Bus Ticket IMPS,Travel
Supermarket Grocery Bill,Groceries
McDonalds Online,Food
Cab Ride Auto-pay,Travel
Street Food Auto-pay,Food
Doctor Consultation Payment,Healthcare
Charity IMPS,Miscellaneous
Mall Purchase Purchase,Shopping
Event Ticket Auto-pay,Entertainment
Reliance Digital Purchase,Shopping
Blinkit via UPI,Groceries
Coffee Shop Auto-pay,Food
Rent Payment Transaction,Bills
Flight Ticket Auto-pay,Travel
Dining Recharge,Food
Dental Treatment Online,Healthcare
Maintenance Charges Auto-pay,Bills
Netmeds Recharge,Healthcare
DTH Recharge App,Bills
Netmeds Online,Healthcare
Air India Bill,Travel
Blinkit App,Groceries
Starbucks App,Food
KFC IMPS,Food
Myntra Transaction,Shopping
Electronics Store Online,Shopping
Coffee Shop IMPS,Food
Cult.fit Transaction,Miscellaneous
Practo Payment,Healthcare
Metro Recharge Purchase,Travel
MakeMyTrip Transaction,Travel
Bakery App,Food
ATM Withdrawal Purchase,Miscellaneous
Rapido Purchase,Travel
Blinkit IMPS,Groceries
Starbucks Auto-pay,Food
Supermarket Grocery Online,Groceries
Apollo Pharmacy,Healthcare
Music Subscription Online,Entertainment
Charity,Miscellaneous
Doctor Consultation Online,Healthcare
Vi Mobile Bill NEFT,Bills
Amazon Prime Online,Entertainment
Mall Purchase App,Shopping
Parking Fee Recharge,Miscellaneous
Maintenance Charges via UPI,Bills
Bescom NEFT,Bills
Bescom App,Bills
Pharma IMPS,Healthcare
Gym Membership Auto-pay,Miscellaneous
Zepto via UPI,Groceries
Blinkit Auto-pay,Groceries
Croma Transaction,Shopping
Air India Recharge,Travel
Local Kirana Payment,Groceries
Medical Lab Test NEFT,Healthcare
Household Items,Groceries
ATM Withdrawal Payment,Miscellaneous
Nature's Basket Bill,Groceries
Gym Membership Purchase,Miscellaneous
Water Bill via UPI,Bills
Bus Ticket Online,Travel
Amazon Prime via UPI,Entertainment
Street Food Online,Food
Instamart via UPI,Groceries
Nykaa Bill,Shopping
Lifestyle NEFT,Shopping
Charity,Miscellaneous
Jio Recharge Bill,Bills
Event Ticket App,Entertainment
Parking Fee NEFT,Miscellaneous
DTH Recharge Online,Bills
Inox Purchase,Entertainment
Health Insurance Auto-pay,Healthcare
Milk Purchase NEFT,Groceries
Gaming Top-up,Entertainment
Airport Taxi IMPS,Travel
Mahanagar Gas Online,Bills
Lifestyle Bill,Shopping
Vi Mobile Bill IMPS,Bills
Daily Essentials Auto-pay,Groceries
Apollo Pharmacy Purchase,Healthcare
Practo Transaction,Healthcare
Clinic Visit Online,Healthcare
Daily Essentials Payment,Groceries
Cab Ride App,Travel
Health Insurance Recharge,Healthcare
Tata Power,Bills
Amazon via UPI,Shopping
BookMyShow Purchase,Entertainment
Doctor Consultation Recharge,Healthcare
Indigo Airlines Purchase,Travel
Courier Service NEFT,Miscellaneous
Supermarket Grocery Auto-pay,Groceries
Cafe Coffee Day Transaction,Food
PVR Cinemas via UPI,Entertainment
Metro Recharge IMPS,Travel
IRCTC Auto-pay,Travel
General Store Recharge,Groceries
Local Cafe Purchase,Food
Blinkit IMPS,Groceries
BookMyShow Purchase,Entertainment
KFC NEFT,Food
Temple Donation Payment,Miscellaneous
Health Insurance,Healthcare
Cab Ride Recharge,Travel
IRCTC Transaction,Travel
General Store,Groceries
Music Subscription Auto-pay,Entertainment
Hospital Bill Purchase,Healthcare
Reliance Smart Transaction,Groceries
Cult.fit Payment,Miscellaneous
Hotstar Bill,Entertainment
MakeMyTrip Bill,Travel
Rapido,Travel
General Store Purchase,Groceries
Rapido Recharge,Travel
Flipkart Transaction,Shopping
Courier Service Purchase,Miscellaneous
Medical Lab Test IMPS,Healthcare
Ola Payment,Travel
Cult.fit IMPS,Miscellaneous
Tata Power IMPS,Bills
BookMyShow NEFT,Entertainment
BookMyShow Auto-pay,Entertainment
Bus Ticket IMPS,Travel
Bescom Recharge,Bills
Household Items Payment,Groceries
Broadband Bill NEFT,Bills
Amazon Prime Bill,Entertainment
Bescom Recharge,Bills
Cult.fit Recharge,Miscellaneous
Airtel Postpaid Bill,Bills
Flight Ticket IMPS,Travel
KFC Bill,Food
Nykaa Payment,Shopping
Reliance Smart Payment,Groceries
Electronics Store Payment,Shopping
BigBasket Transaction,Groceries
Air India Recharge,Travel
Mall Purchase App,Shopping
Hospital Bill Payment,Healthcare
Household Items Online,Groceries
Broadband Bill via UPI,Bills
Amazon Prime IMPS,Entertainment
Milk Purchase App,Groceries
Courier Service IMPS,Miscellaneous
Blinkit Bill,Groceries
Nykaa App,Shopping
Local Kirana NEFT,Groceries
Street Food via UPI,Food
Gaming Top-up,Entertainment
1mg Transaction,Healthcare
Jio Recharge Online,Bills
Clothing Store Auto-pay,Shopping
Flight Ticket Auto-pay,Travel
Health Insurance App,Healthcare
BigBasket Online,Groceries
Zepto Bill,Groceries
Milk Purchase Online,Groceries
Dining Payment,Food
Hospital Bill Payment,Healthcare
Local Kirana Transaction,Groceries
Apollo Pharmacy Auto-pay,Healthcare
Water Bill NEFT,Bills
Local Cafe,Food
Flipkart via UPI,Shopping
Electronics Store,Shopping
Nykaa,Shopping
Supermarket Grocery Purchase,Groceries
MakeMyTrip Purchase,Travel
Myntra Purchase,Shopping
Maintenance Charges IMPS,Bills
Mahanagar Gas IMPS,Bills
Flipkart NEFT,Shopping
Indigo Airlines App,Travel
KFC,Food
General Store Auto-pay,Groceries
Street Food,Food
Broadband Bill Bill,Bills
Dental Treatment Bill,Healthcare
Dining Bill,Food
Spotify Transaction,Entertainment
Myntra Payment,Shopping
Cafe Coffee Day Recharge,Food
Zepto Recharge,Groceries
Dental Treatment Purchase,Healthcare
Local Cafe Purchase,Food
Haldirams via UPI,Food
Household Items Payment,Groceries
Street Food Purchase,Food
Maintenance Charges Purchase,Bills
Household Items Bill,Groceries
Bus Ticket Bill,Travel
Courier Service Auto-pay,Miscellaneous
Electronics Store IMPS,Shopping
Charity,Miscellaneous
Bescom App,Bills
Amazon Prime Purchase,Entertainment
Coffee Shop Auto-pay,Food
RedBus Transaction,Travel
Clinic Visit via UPI,Healthcare
BlueDart NEFT,Miscellaneous
Appliance Store Bill,Shopping
Apollo Pharmacy Transaction,Healthcare
Vi Mobile Bill Recharge,Bills
Medical Lab Test NEFT,Healthcare
Myntra NEFT,Shopping
Pharma IMPS,Healthcare
Flipkart Auto-pay,Shopping
Lifestyle App,Shopping
Amazon Prime Transaction,Entertainment
RedBus Purchase,Travel
Uber App,Travel
Train Ticket via UPI,Travel
Shoppers Stop IMPS,Shopping
ATM Withdrawal Recharge,Miscellaneous
Rapido NEFT,Travel
BookMyShow Bill,Entertainment
Music Subscription Auto-pay,Entertainment
RedBus via UPI,Travel
Cab Ride via UPI,Travel
Haldirams Purchase,Food
Cult.fit Auto-pay,Miscellaneous
India Post Recharge,Miscellaneous
Pharma Payment,Healthcare
Starbucks App,Food
Amazon Auto-pay,Shopping
Train Ticket Transaction,Travel
Myntra App,Shopping
Flight Ticket Payment,Travel
Music Subscription App,Entertainment
Supermarket Grocery IMPS,Groceries
Steam Recharge,Entertainment
Amazon Prime IMPS,Entertainment
Cab Ride Purchase,Travel
MakeMyTrip Bill,Travel
Temple Donation Payment,Miscellaneous
Nykaa Online,Shopping
Health Insurance Auto-pay,Healthcare
Tata Power via UPI,Bills
BlueDart IMPS,Miscellaneous
Shoppers Stop Transaction,Shopping
Gym Membership Payment,Miscellaneous
Croma App,Shopping
Maintenance Charges Purchase,Bills
ATM Withdrawal Recharge,Miscellaneous
Appliance Store Auto-pay,Shopping
Inox Payment,Entertainment
Practo,Healthcare
Household Items Auto-pay,Groceries
Spotify App,Entertainment
DMart Purchase,Groceries
RedBus via UPI,Travel
Rent Payment Online,Bills
Donation Purchase,Miscellaneous
Haldirams IMPS,Food
Metro Recharge Transaction,Travel
Swiggy Online,Food
OTT Subscription via UPI,Entertainment
Gym Membership Online,Miscellaneous
Courier Service via UPI,Miscellaneous
Street Food Auto-pay,Food
Daily Essentials NEFT,Groceries
Netflix Transaction,Entertainment
Jio Recharge Bill,Bills
Reliance Smart via UPI,Groceries
General Store IMPS,Groceries
Reliance Smart IMPS,Groceries
Charity Purchase,Miscellaneous
ATM Withdrawal IMPS,Miscellaneous
MakeMyTrip Auto-pay,Travel
DMart Purchase,Groceries
RedBus Bill,Travel
Sports Ticket Payment,Entertainment
Practo Payment,Healthcare
Spotify Recharge,Entertainment
Temple Donation NEFT,Miscellaneous
ATM Withdrawal Payment,Miscellaneous
Vi Mobile Bill App,Bills
Water Bill Auto-pay,Bills
DMart Purchase,Groceries
Appliance Store Transaction,Shopping
DMart Recharge,Groceries
Temple Donation Payment,Miscellaneous
BlueDart Online,Miscellaneous
Cafe Coffee Day via UPI,Food
Zepto,Groceries
Tata Power Transaction,Bills
Electricity Bill Recharge,Bills
Airport Taxi Recharge,Travel
Uber Recharge,Travel
Croma via UPI,Shopping
Indigo Airlines Payment,Travel
Cult.fit NEFT,Miscellaneous
Clothing Store via UPI,Shopping
Train Ticket Bill,Travel
Electronics Store via UPI,Shopping
Retail Store Bill,Shopping
Sports Ticket,Entertainment
Music Subscription Purchase,Entertainment
Netmeds Auto-pay,Healthcare
Sports Ticket NEFT,Entertainment
Bakery Auto-pay,Food
PVR Cinemas Recharge,Entertainment
BigBasket Transaction,Groceries
Ola Auto-pay,Travel
1mg via UPI,Healthcare
Starbucks NEFT,Food
Swiggy Payment,Food
Event Ticket via UPI,Entertainment
Clothing Store via UPI,Shopping
Apollo Pharmacy Online,Healthcare
Train Ticket Purchase,Travel
Zepto Bill,Groceries
Uber Auto-pay,Travel
Event Ticket Bill,Entertainment
IRCTC Transaction,Travel
Domino's Payment,Food
Pharma,Healthcare
Rent Payment Online,Bills
Temple Donation NEFT,Miscellaneous
Rent Payment Transaction,Bills
Bus Ticket App,Travel
Bus Ticket Bill,Travel
Flipkart,Shopping
Mahanagar Gas Transaction,Bills
Netmeds Recharge,Healthcare
Nature's Basket IMPS,Groceries
Cafe Coffee Day Bill,Food
Electricity Bill App,Bills
DMart via UPI,Groceries
OTT Subscription via UPI,Entertainment
Domino's,Food
Appliance Store Auto-pay,Shopping
Retail Store NEFT,Shopping
Courier Service Payment,Miscellaneous
Cult.fit,Miscellaneous
Steam Bill,Entertainment
Hospital Bill Online,Healthcare
Mahanagar Gas Bill,Bills
Bescom App,Bills
Pharma Online,Healthcare
Local Kirana NEFT,Groceries
Coffee Shop Transaction,Food
Electricity Bill Purchase,Bills
Mall Purchase NEFT,Shopping
Temple Donation Purchase,Miscellaneous
Medical Lab Test NEFT,Healthcare
Cab Ride NEFT,Travel
Mall Purchase IMPS,Shopping
Netflix Auto-pay,Entertainment
Temple Donation via UPI,Miscellaneous
Cab Ride App,Travel
Street Food Payment,Food
Daily Essentials NEFT,Groceries
Zomato Auto-pay,Food
McDonalds App,Food
DTH Recharge,Bills
Airtel Postpaid via UPI,Bills
Water Bill Purchase,Bills
Instamart Bill,Groceries
Mahanagar Gas App,Bills
RedBus Auto-pay,Travel
KFC IMPS,Food
Uber,Travel
Uber NEFT,Travel
Apollo Pharmacy Online,Healthcare
DMart via UPI,Groceries
Nature's Basket Transaction,Groceries
BigBasket NEFT,Groceries
Netflix Transaction,Entertainment
Blinkit Purchase,Groceries
Inox Payment,Entertainment
Donation NEFT,Miscellaneous
Reliance Digital via UPI,Shopping
Jio Recharge Auto-pay,Bills
Flipkart Purchase,Shopping
Donation via UPI,Miscellaneous
Netflix IMPS,Entertainment
Spotify Purchase,Entertainment
Medical Lab Test,Healthcare
Croma Auto-pay,Shopping
Mall Purchase,Shopping
Airtel Postpaid Recharge,Bills
Myntra IMPS,Shopping
Clinic Visit Auto-pay,Healthcare
Retail Store Online,Shopping
Clinic Visit Transaction,Healthcare
Pharma via UPI,Healthcare
India Post Online,Miscellaneous
Indigo Airlines NEFT,Travel
Instamart Transaction,Groceries
Gaming Top-up Bill,Entertainment
Temple Donation Recharge,Miscellaneous
Clothing Store Bill,Shopping
Ajio Purchase,Shopping
Mahanagar Gas via UPI,Bills
KFC Recharge,Food
Supermarket Grocery NEFT,Groceries
Cab Ride,Travel
Amazon Prime Recharge,Entertainment
Starbucks IMPS,Food
Mall Purchase IMPS,Shopping
ATM Withdrawal Recharge,Miscellaneous
Nykaa via UPI,Shopping
McDonalds IMPS,Food
BlueDart Bill,Miscellaneous
Rent Payment IMPS,Bills
Indigo Airlines NEFT,Travel
ATM Withdrawal Online,Miscellaneous
Jio Recharge NEFT,Bills
Starbucks NEFT,Food
Blinkit,Groceries
Domino's Transaction,Food
Vi Mobile Bill App,Bills
Retail Store via UPI,Shopping
IRCTC Transaction,Travel
Haldirams Recharge,Food
Street Food Recharge,Food
Maintenance Charges Auto-pay,Bills
Pharma Auto-pay,Healthcare
Courier Service Transaction,Miscellaneous
1mg Payment,Healthcare
Music Subscription App,Entertainment
Vi Mobile Bill Recharge,Bills
Croma Payment,Shopping
Donation Auto-pay,Miscellaneous
Gaming Top-up Recharge,Entertainment
Water Bill via UPI,Bills
Swiggy Transaction,Food
Gaming Top-up IMPS,Entertainment
Jio Recharge Recharge,Bills
Dining App,Food
MakeMyTrip via UPI,Travel
Charity,Miscellaneous
Local Cafe,Food
Bank Charges Online,Miscellaneous
Hospital Bill Payment,Healthcare
Haldirams Transaction,Food
Hotstar Transaction,Entertainment
DTH Recharge via UPI,Bills
Hotstar App,Entertainment
DMart Recharge,Groceries
Cult.fit Auto-pay,Miscellaneous
Apollo Pharmacy Recharge,Healthcare
Bus Ticket IMPS,Travel
Pharma Payment,Healthcare
Dining,Food
Netflix Purchase,Entertainment
1mg Payment,Healthcare
DTH Recharge Transaction,Bills
Dining IMPS,Food
Local Cafe Purchase,Food
Jio Recharge,Bills
Clothing Store Auto-pay,Shopping
Instamart Purchase,Groceries
Amazon NEFT,Shopping
Appliance Store Online,Shopping
Bescom Purchase,Bills
Air India via UPI,Travel
Domino's via UPI,Food
Lifestyle Payment,Shopping
ATM Withdrawal,Miscellaneous
Spotify Transaction,Entertainment
Amazon,Shopping
Household Items Transaction,Groceries
OTT Subscription Auto-pay,Entertainment
Myntra IMPS,Shopping
Donation Bill,Miscellaneous
Flipkart IMPS,Shopping
Donation Recharge,Miscellaneous
Vi Mobile Bill Recharge,Bills
ATM Withdrawal Online,Miscellaneous
Rent Payment Bill,Bills
Broadband Bill Purchase,Bills
Zomato via UPI,Food
Pharma IMPS,Healthcare
Rent Payment via UPI,Bills
PVR Cinemas Recharge,Entertainment
Broadband Bill Recharge,Bills
Courier Service Bill,Miscellaneous
Milk Purchase NEFT,Groceries
Indigo Airlines Transaction,Travel
Croma,Shopping
General Store Purchase,Groceries
Airport Taxi,Travel
Haldirams Payment,Food
Pharma Recharge,Healthcare
Jio Recharge Payment,Bills
Donation Payment,Miscellaneous
Netflix,Entertainment
Domino's Recharge,Food
Instamart Bill,Groceries
Medical Lab Test Purchase,Healthcare
Flipkart IMPS,Shopping
Starbucks IMPS,Food
Vi Mobile Bill Online,Bills
Rapido Recharge,Travel
Temple Donation Online,Miscellaneous
Broadband Bill Purchase,Bills
PVR Cinemas Transaction,Entertainment
Supermarket Grocery Payment,Groceries
Retail Store IMPS,Shopping
Bikanervala NEFT,Food
Airtel Postpaid App,Bills
Bescom Payment,Bills
McDonalds IMPS,Food
Clinic Visit Recharge,Healthcare
Doctor Consultation Bill,Healthcare
Milk Purchase Bill,Groceries
Parking Fee App,Miscellaneous
Ola,Travel
Cult.fit Bill,Miscellaneous
Airport Taxi NEFT,Travel
Cult.fit App,Miscellaneous
Retail Store Payment,Shopping
Supermarket Grocery IMPS,Groceries
Bank Charges,Miscellaneous
Bank Charges via UPI,Miscellaneous
Netmeds,Healthcare
Bank Charges Transaction,Miscellaneous
Broadband Bill Online,Bills
BookMyShow Purchase,Entertainment
Cab Ride,Travel
